name,iso_country,municipality,icao_code,iata_code
Zayed International Airport,AE,Abu Dhabi,OMAA,AUH
Al Ain International Airport,AE,Al Ain,OMAL,AAN
Dubai International Airport,AE,Dubai,OMDB,DXB
Delma Airport,AE,Delma Island,OMDL,ZDY
Al Maktoum International Airport,AE,Jebel Ali,OMDW,DWC
Fujairah International Airport,AE,Fujairah,OMFJ,FJR
Ras Al Khaimah International Airport,AE,Ras Al Khaimah,OMRK,RKT
Sharjah International Airport,AE,Sharjah,OMSJ,SHJ
Fayzabad Airport,AF,Fayzabad,OAFZ,FBD
Herat - Khwaja Abdullah Ansari International Airport,AF,Guzara,OAHR,HEA
Kabul International Airport,AF,Kabul,OAKB,KBL
Ahmad Shah Baba International Airport / Kandahar Airfield,AF,Khvoshab,OAKN,KDH
Maymana Zahiraddin Faryabi Airport,AF,Maymana,OAMN,MMZ
Mazar-i-Sharif International Airport,AF,Mazar-i-Sharif,OAMS,MZR
V C Bird International Airport,AG,Osbourn,TAPA,ANU
Codrington Airport,AG,Codrington,TAPH,BBQ
Clayton J Lloyd International Airport,AI,The Valley,TQPF,AXA
Tirana International Airport Mother Teresa,AL,Rinas,LATI,TIA
Shirak International Airport,AM,Gyumri,UDSG,LWN
Zvartnots International Airport,AM,Yerevan,UDYZ,EVN
Mbanza Congo Airport,AO,Mbanza Congo,FNBC,SSY
Cabinda Airport,AO,Cabinda,FNCA,CAB
Catumbela Airport,AO,Catumbela,FNCT,CBT
Dundo Airport,AO,Chitato,FNDU,DUE
Ngjiva Pereira Airport,AO,Ngiva,FNGI,VPE
Albano Machado Airport,AO,Huambo,FNHU,NOV
Quatro de Fevereiro International Airport,AO,Luanda,FNLU,LAD
Malanje Airport,AO,Malanje,FNMA,MEG
Menongue Airport,AO,Menongue,FNME,SPP
Welwitschia Mirabilis International Airport,AO,Moçâmedes,FNMO,MSZ
Negage Airport,AO,Negage,FNNG,GXG
Soyo Airport,AO,Soyo,FNSO,SZA
Lubango Airport,AO,Lubango,FNUB,SDD
Teniente Rodolfo Marsh Martin Airport,AQ,Villa Las Estrellas,SCRM,TNM
General Urquiza Airport,AR,Parana,SAAP,PRA
Rosario Islas Malvinas International Airport,AR,Rosario,SAAR,ROS
Sauce Viejo Airport,AR,Santa Fe,SAAV,SFN
Jorge Newbery Airpark,AR,Buenos Aires,SABE,AEP
Ingeniero Ambrosio Taravella Airport,AR,Cordoba,SACO,COR
Minister Pistarini International Airport,AR,Buenos Aires (Ezeiza),SAEZ,EZE
El Plumerillo Airport,AR,Mendoza,SAME,MDZ
Suboficial Ay Santiago Germano Airport,AR,San Rafael,SAMR,AFA
